what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.datatools.enablement.ibm.db2.zseries,1.0.2.v201107221502,"org.eclipse.datatools.enablement.ibm.db2.zseries",1342116366604
started,bundle,org.eclipse.datatools.enablement.ingres,1.0.0.v200906111150,"org.eclipse.datatools.enablement.ingres",1342116366640
started,bundle,org.eclipse.datatools.enablement.sybase,1.0.1.v201107221507,"org.eclipse.datatools.enablement.sybase",1342116366643
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1342116383423
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1342116383424
started,bundle,org.jboss.tools.jsf,3.3.0.v20120611-2148-H115-Final,"org.jboss.tools.jsf",1342116383440
started,bundle,com.google.appengine.eclipse.webtools,2.6.1.v201205091048-rel-r37,"com.google.appengine.eclipse.webtools",1342116383521
started,bundle,org.jboss.tools.hibernate.jpt.core,3.4.0.v20120611-2017-H93-Final,"org.jboss.tools.hibernate.jpt.core",1342116383525
started,bundle,org.jboss.tools.maven.seam,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.seam",1342116383533
started,bundle,org.jboss.tools.ws.jaxrs.ui,1.2.2.v20120611-1829-H137-Final,"org.jboss.tools.ws.jaxrs.ui",1342116383542
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1342116383585
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.505.v201202020200,"org.eclipse.jst.j2ee.ejb",1342116383773
started,bundle,org.eclipse.jst.j2ee.jca,1.1.501.v201111030500,"org.eclipse.jst.j2ee.jca",1342116383778
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1342116383785
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1342116383788
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1342116383791
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1342116383870
started,bundle,org.jboss.ide.eclipse.archives.core,3.2.1.v20120611-1725-H88-Final,"org.jboss.ide.eclipse.archives.core",1342116384214
started,bundle,org.jboss.tools.jmx.core,1.2.0.v20120611-1733-H71-Final,"org.jboss.tools.jmx.core",1342116384220
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.archives.webtools",1342116384258
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1342116384808
started,bundle,org.jboss.tools.jst.web.kb,3.3.0.v20120611-1739-H85-Final,"org.jboss.tools.jst.web.kb",1342116384814
started,bundle,org.jboss.tools.jst.web.tiles,3.3.0.v20120611-1739-H85-Final,"org.jboss.tools.jst.web.tiles",1342116386362
started,bundle,org.jboss.tools.hibernate.xml,3.4.0.v20120611-2017-H93-Final,"org.jboss.tools.hibernate.xml",1342116386364
started,bundle,org.jboss.tools.seam.xml,3.3.0.v20120612-1916-H130-Final,"org.jboss.tools.seam.xml",1342116386371
started,bundle,org.jboss.tools.seam.pages.xml,3.3.0.v20120612-1916-H130-Final,"org.jboss.tools.seam.pages.xml",1342116386376
started,bundle,org.jboss.tools.cdi.xml,1.2.0.v20120611-1827-H85-Final,"org.jboss.tools.cdi.xml",1342116386381
started,bundle,com.google.gdt.eclipse.platform.shared,2.6.1.v201205091048-rel-r37,"com.google.gdt.eclipse.platform.shared",1342116386412
started,bundle,com.google.gwt.eclipse.core,2.6.1.v201205091048-rel-r37,"com.google.gwt.eclipse.core",1342116386564
